date,value
1970-01-01,86.0
1970-04-01,85.0
1970-07-01,86.0
1970-10-01,86.0
1971-01-01,86.0
1971-04-01,86.0
1971-07-01,87.0
1971-10-01,87.0
1972-01-01,87.0
1972-04-01,86.0
1972-07-01,87.0
1972-10-01,89.0
1973-01-01,89.0
1973-04-01,90.0
1973-07-01,90.0
1973-10-01,90.0
1974-01-01,90.0
1974-04-01,89.0
1974-07-01,89.0
1974-10-01,87.0
1975-01-01,87.0
1975-04-01,87.0
1975-07-01,87.0
1975-10-01,87.0
1976-01-01,87.0
1976-04-01,89.0
1976-07-01,89.0
1976-10-01,89.0
1977-01-01,87.0
1977-04-01,86.0
1977-10-01,82.0
1978-01-01,82.0
1978-04-01,85.0
1978-07-01,83.0
1978-10-01,85.0
1979-01-01,82.0
1979-04-01,84.0
1979-07-01,83.0
1979-10-01,84.0
1980-01-01,84.0
1980-04-01,84.0
1980-07-01,85.0
1980-10-01,84.0
1981-01-01,82.0
1981-04-01,78.0
1981-07-01,76.0
1981-10-01,74.0
1982-01-01,74.0
1982-04-01,76.0
1982-07-01,77.0
1982-10-01,76.0
1983-01-01,73.0
1983-04-01,74.0
1983-07-01,72.0
1983-10-01,73.0
1984-01-01,72.0
1984-04-01,74.0
1984-07-01,74.0
1984-10-01,76.0
1985-01-01,77.0
1985-04-01,77.0
1985-07-01,77.0
1985-10-01,80.0
1986-01-01,81.0
1986-04-01,81.0
1986-07-01,82.0
1986-10-01,86.0
1987-01-01,84.0
1987-04-01,83.0
1987-07-01,76.0
1987-10-01,80.0
1988-01-01,79.0
1988-04-01,80.0
1988-07-01,79.0
1988-10-01,80.0
1989-01-01,78.0
1989-04-01,79.0
1989-07-01,83.0
1989-10-01,83.0
1990-01-01,79.0
1990-04-01,61.0
1990-07-01,77.0
1990-10-01,79.0
1991-01-01,68.0
1991-04-01,74.0
1991-07-01,78.0
1991-10-01,78.0
1992-01-01,69.0
1992-04-01,72.0
1992-07-01,73.0
1992-10-01,74.0
1993-01-01,72.0
1993-04-01,77.0
1993-07-01,79.0
1993-10-01,79.0
1994-01-01,77.0
1994-04-01,79.0
1994-07-01,80.0
1994-10-01,83.0
1995-01-01,83.0
1995-04-01,86.0
1995-07-01,83.0
1995-10-01,81.0
1996-01-01,79.0
1996-04-01,82.0
1996-07-01,81.0
1996-10-01,85.0
1997-01-01,81.0
1997-04-01,84.0
1997-07-01,84.0
1997-10-01,85.0
1998-01-01,79.6
1998-04-01,81.5
1998-07-01,82.9
1998-10-01,81.7
1999-01-01,78.1
1999-04-01,79.0
1999-07-01,79.3
1999-10-01,81.5
2000-01-01,79.4
2000-04-01,81.8
2000-07-01,81.6
2000-10-01,82.4
2001-01-01,81.4
2001-04-01,82.2
2001-07-01,79.8
2001-10-01,79.7
2002-01-01,78.3
2002-04-01,79.1
2002-07-01,79.5
2002-10-01,80.0
2003-01-01,79.7
2003-04-01,80.4
2003-07-01,79.4
2003-10-01,81.7
2004-01-01,80.1
2004-04-01,81.3
2004-07-01,83.3
2004-10-01,84.9
2005-01-01,82.7
2005-04-01,83.0
2005-07-01,83.3
2005-10-01,84.1
2005-11-01,84.1
2005-12-01,83.7
2006-01-01,82.0
2006-02-01,82.8
2006-03-01,83.0
2006-04-01,81.9
2006-05-01,82.7
2006-06-01,82.3
2006-07-01,83.8
2006-08-01,83.6
2006-09-01,84.6
2006-10-01,84.2
2006-11-01,84.7
2006-12-01,84.4
2007-01-01,82.4
2007-02-01,83.9
2007-03-01,83.1
2007-04-01,84.5
2007-05-01,84.4
2007-06-01,84.7
2007-07-01,85.2
2007-08-01,85.7
2007-09-01,86.1
2007-10-01,87.0
2007-11-01,87.2
2007-12-01,86.7
2008-01-01,84.3
2008-02-01,84.7
2008-03-01,85.2
2008-04-01,85.1
2008-05-01,85.6
2008-06-01,86.3
2008-07-01,86.1
2008-08-01,86.6
2008-09-01,86.3
2008-10-01,86.3
2008-11-01,85.2
2008-12-01,80.6
2009-01-01,76.7
2009-02-01,77.0
2009-03-01,77.1
2009-04-01,77.6
2009-05-01,78.7
2009-06-01,79.0
2009-07-01,79.8
2009-08-01,81.6
2009-09-01,82.8
2009-10-01,83.7
2009-11-01,84.5
2009-12-01,84.2
2010-01-01,82.1
2010-02-01,83.1
2010-03-01,83.5
2010-04-01,84.5
2010-05-01,84.6
2010-06-01,85.1
2010-07-01,85.0
2010-08-01,85.4
2010-09-01,85.9
2010-10-01,86.4
2010-11-01,86.1
2010-12-01,85.3
2011-01-01,83.1
2011-02-01,83.7
2011-03-01,83.5
2011-04-01,84.0
2011-05-01,84.1
2011-06-01,84.1
2011-07-01,84.0
2011-08-01,84.0
2011-09-01,84.4
2011-10-01,84.7
2011-11-01,84.5
2011-12-01,84.1
2012-01-01,82.1
2012-02-01,82.9
2012-03-01,83.0
2012-04-01,83.5
2012-05-01,83.7
2012-06-01,83.6
2012-07-01,83.6
2012-08-01,84.4
2012-09-01,84.9
2012-10-01,85.4
2012-11-01,85.2
2012-12-01,84.8
2013-01-01,82.8
2013-02-01,83.3
2013-03-01,83.3
2013-04-01,83.8
2013-05-01,84.3
2013-06-01,84.2
2013-07-01,84.3
2013-08-01,84.6
2013-09-01,85.0
2013-10-01,85.3
2013-11-01,85.5
2013-12-01,84.9
2014-01-01,83.1
2014-02-01,83.8
2014-03-01,83.6
2014-04-01,83.7
2014-05-01,84.1
2014-06-01,83.3
2014-07-01,83.1
2014-08-01,83.6
2014-09-01,83.8
2014-10-01,83.2
2014-11-01,82.6
2014-12-01,80.4
2015-01-01,77.6
2015-02-01,78.7
2015-03-01,77.3
2015-04-01,76.4
2015-05-01,76.0
2015-06-01,75.4
2015-07-01,74.6
2015-08-01,75.3
2015-09-01,75.8
2015-10-01,76.5
2015-11-01,76.8
2015-12-01,76.4
2016-01-01,72.4
2016-02-01,73.4
2016-03-01,72.6
2016-04-01,73.2
2016-05-01,73.1
2016-06-01,73.4
2016-07-01,73.5
2016-08-01,73.9
2016-09-01,75.4
2016-10-01,75.2
2016-11-01,76.2
2016-12-01,74.0
2017-01-01,73.2
2017-02-01,73.7
2017-03-01,73.3
2017-04-01,73.4
2017-05-01,74.0
2017-06-01,73.6
2017-07-01,74.0
2017-08-01,74.2
2017-09-01,74.9
2017-10-01,76.0
2017-11-01,76.6
2017-12-01,75.9
2018-01-01,73.3
2018-02-01,75.2
2018-03-01,75.1
2018-04-01,75.5
2018-05-01,75.9
2018-06-01,75.6
2018-07-01,75.1
2018-08-01,76.0
2018-09-01,77.7
2018-10-01,77.9
2018-11-01,77.3
2018-12-01,75.7
2019-01-01,72.7
2019-02-01,74.1
2019-03-01,73.6
2019-04-01,73.5
2019-05-01,74.8
2019-06-01,74.5
2019-07-01,74.9
2019-08-01,75.9
2019-09-01,76.5
2019-10-01,77.5
2019-11-01,77.3
2019-12-01,76.0
2020-01-01,74.0
2020-02-01,75.6
2020-03-01,74.2
2020-04-01,56.5
2020-05-01,59.9
2020-06-01,66.1
2020-07-01,71.8
2020-08-01,75.5
2020-09-01,79.3
2020-10-01,81.7
2020-11-01,81.8
2020-12-01,80.2
2021-01-01,78.1
2021-02-01,78.5
2021-03-01,77.2
2021-04-01,75.6
2021-05-01,77.3
2021-06-01,78.8
2021-07-01,79.5
2021-08-01,79.9
2021-09-01,81.3
2021-10-01,83.2
2021-11-01,82.8
2021-12-01,80.6
2022-01-01,78.9
2022-02-01,79.3
2022-03-01,79.0
2022-04-01,78.7
2022-05-01,80.3
2022-06-01,80.8
2022-07-01,81.7
2022-08-01,82.4
2022-09-01,81.9
2022-10-01,82.6
2022-11-01,81.9
2022-12-01,80.5
2023-01-01,77.0
2023-02-01,78.1
2023-03-01,77.9
2023-04-01,79.6
2023-05-01,79.6
2023-06-01,79.8
2023-07-01,80.4
2023-08-01,81.0
2023-09-01,82.8
2023-10-01,82.7
2023-11-01,83.0
2023-12-01,82.1
2024-01-01,79.2
2024-02-01,80.0
2024-03-01,80.1
2024-04-01,81.1
2024-05-01,81.3
2024-06-01,82.1
2024-07-01,83.0
2024-08-01,83.7
2024-09-01,84.6
2024-10-01,84.5
2024-11-01,83.7
2024-12-01,82.1
2025-01-01,79.7
2025-02-01,80.0
2025-03-01,80.2
2025-04-01,81.8
2025-05-01,83.1
2025-06-01,83.5
2025-07-01,82.2
2025-08-01,83.1
2025-09-01,83.8
2025-10-01,83.9
2025-11-01,81.7
2025-12-01,80.5
2026-01-01,79.1
2026-02-01,80.3
2026-03-01,80.9
2026-04-01,82.1
2026-05-01,82.4
2026-06-01,82.9
2026-07-01,82.9
